,Character ID,spells
451,1,[]
452,1,[]
453,2,[]
454,1,[]
455,3,[]
456,2,['Wingardium Leviosa']
457,3,[]
458,1,[]
459,7,[]
460,2,[]
461,1,[]
462,3,[]
463,7,[]
464,3,[]
465,7,[]
466,41,[]
467,1,[]
468,2,[]
469,1,[]
470,2,[]
471,2,[]
472,3,[]
473,1,[]
474,6,[]
475,1,[]
476,3,[]
477,1,[]
478,3,[]
479,1,[]
480,3,[]
481,1,[]
482,3,[]
483,1,[]
484,2,[]
485,1,[]
486,2,[]
487,1,[]
488,46,[]
489,1,[]
490,46,[]
491,1,[]
492,46,[]
493,52,[]
494,10,[]
495,52,[]
496,50,[]
497,52,[]
498,52,[]
499,52,[]
500,1,[]
501,5,[]
502,52,[]
503,2,[]
504,29,[]
505,1,[]
506,52,[]
507,165,[]
508,82,[]
509,82,[]
510,1,[]
511,5,[]
512,3,[]
513,2,[]
514,3,[]
515,2,[]
516,3,[]
517,139,[]
518,6,[]
519,2,[]
520,5,[]
521,5,[]
522,52,[]
523,50,[]
524,12,[]
525,5,[]
526,3,[]
527,164,[]
528,5,[]
529,1,[]
530,5,[]
531,2,[]
532,3,[]
533,5,[]
534,1,[]
535,5,[]
536,1,[]
537,5,[]
538,3,[]
539,1,[]
540,5,[]
541,1,[]
542,5,[]
543,1,[]
544,3,[]
545,158,[]
546,1,[]
547,2,[]
548,3,[]
549,2,[]
550,3,[]
551,2,[]
552,3,[]
553,2,[]
554,3,[]
555,2,[]
556,2,[]
557,2,[]
558,1,[]
559,2,[]
560,1,[]
561,2,[]
562,2,[]
563,1,[]
564,2,[]
565,1,[]
566,2,[]
567,2,[]
568,1,[]
569,2,[]
570,1,[]
571,2,[]
572,1,[]
573,1,[]
574,35,[]
575,41,[]
576,6,[]
577,41,[]
578,6,[]
579,35,[]
580,1,[]
581,1,[]
582,2,[]
583,1,[]
584,1,[]
585,2,[]
586,1,[]
587,2,[]
588,1,[]
589,19,[]
590,2,[]
591,1,[]
592,2,[]
593,1,[]
594,2,[]
595,4,[]
596,1,[]
597,4,[]
598,1,[]
599,3,[]
600,2,[]
601,3,[]
602,2,[]
603,3,[]
604,2,[]
605,3,[]
606,2,[]
607,2,[]
608,1,[]
609,2,[]
610,10,[]
611,29,[]
612,10,[]
